brand,product_name,slug,category,target_areas,full_ingredients,description,image_filename,product_name_ko,product_name_en,product_name_ja,country,size,usage,warnings,source_url,source_type,verified,active,image_url
"COSRX","Low pH Good Morning Gel Cleanser","cosrx-low-ph-good-morning-gel-cleanser","foam_cleanser","face","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Sodium Chloride, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA","Mildly acidic gel cleanser that cleans without stripping. Official COSRX.com formulalisting.","cosrx-low-ph-good-morning-gel-cleanser.jpg","약산성 굿모닝 젤 클렌저","Low pH Good Morning Gel Cleanser","","KR","150ml","Morning and night after makeup removal; rinse with warm water.","","https://www.cosrx.com/products/low-ph-good-morning-gel-cleanser","official_brand_page","true","true",""
"COSRX","AHA/BHA Clarifying Treatment Toner","cosrx-aha-bha-clarifying-treatment-toner","toner","face","Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol","AHA+BHA clarifying toner for texture and pores. Official COSRX.com full ingredients.","cosrx-aha-bha-clarifying-treatment-toner.jpg","AHA BHA 클라리파잉 트리트먼트 토너","AHA/BHA Clarifying Treatment Toner","","KR","150ml","After cleansing, wipe with cotton pad; use sunscreen in daytime.","Avoid combining with other acids/retinols/vitamin C; avoid during pregnancy/breastfeeding.","https://www.cosrx.com/products/aha-bha-clarifying-treatment-toner","official_brand_page","true","true",""
"COSRX","Hydrium Watery Toner","cosrx-hydrium-watery-toner","toner","face","Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Allantoin, Panthenol, Sodium Hyaluronate, Pentylene Glycol, Sodium hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Sodium Hyaluronate","Hydrating watery toner with panthenol and multi hyaluronic acids. Official COSRX.com.","cosrx-hydrium-watery-toner.jpg","하이드리움 워터리 토너","Hydrium Watery Toner","","KR","150ml","First step after cleansing; pat for absorption.","","https://www.cosrx.com/products/hydrium-watery-toner","official_brand_page","true","true",""
"COSRX","The Niacinamide 15 Serum","cosrx-the-niacinamide-15-serum","serum","face","Water, Pentylene Glycol, Niacinamide(15%), Butylene Glycol, Acetyl Glucosamine, 1,2-Hexanediol, Zinc PCA, Trehalose, Xanthan Gum, Pullulan, Allantoin, Ethylhexylglycerin, Sodium Phytate, Citric Acid, Tocopherol","15% niacinamide serum with zinc PCA for sebum and pores. Official COSRX.com.","cosrx-the-niacinamide-15-serum.png","더 나이아신아마이드 15 세럼","The Niacinamide 15 Serum","","KR","20ml","After toner, apply a few drops; use SPF daytime. Patch test recommended.","Prefer not layering same-time with strong AHA/BHA, vitamin C, or retinol.","https://www.cosrx.com/products/the-niacinamide-15-serum","official_brand_page","true","true",""
"COSRX","Advanced The Vitamin C 23 Serum","cosrx-advanced-the-vitamin-c-23-serum","serum","face","Aqua/Water, Ascorbic Acid(23%), Butylene Glycol, Dimethicone, Panthenol, 3-O-Ethyl Ascorbic Acid, Squalane, Sodium Hydroxide, Caffeine, Sodium Hyaluronate, Sodium Metaphosphate, Adenosine, Acetyl Glucosamine, Gardenia Florida Fruit Extract, Allantoin, Dextrin, Tocotrienols, Tocopherol, Elaeis Guineensis (Palm) Oil, Arginine, Niacinamide, Pentylene Glycol, Glutathione, Helianthus Annuus (Sunflower) Seed Oil, Methyl Trimethicone, Carthamus Tinctorius (Safflower) Seed Oil, Camellia Japonica Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Beta-Carotene","23% ascorbic acid brightening serum. Official COSRX.com ingredient list.","cosrx-advanced-the-vitamin-c-23-serum.jpg","어드밴스드 더 비타민C 23 세럼","Advanced The Vitamin C 23 Serum","","KR","20g","Use after cleansing; follow with moisturizer and SPF.","High-strength vitamin C; store carefully; may separate oil layer by design.","https://www.cosrx.com/products/cosrx-advanced-the-vitamin-c-23-serum","official_brand_page","true","true",""
"COSRX","The 6 Peptide Skin Booster Serum","cosrx-the-6-peptide-skin-booster-serum","serum","face","Water, Dipropylene Glycol, Glycerin, Pentylene Glycol, 1,2-Hexanediol, Niacinamide, Acetyl Hexapeptide-8, Copper Tripeptide-1, sh-Polypeptide-121, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Oligopeptide-68, Palmitoyl Tripeptide-8, Allantoin, Sodium Hyaluronate, Acetyl Glucosamine, Serine, Alanine, Glycine, Threonine, Arginine, Proline, Betaine, Sodium PCA, Sodium Lactate, PCA, Glutamic Acid, Lysine HCl, Tocopherol, Dextran, Glycine Soja (Soybean) Oil, Hydrogenated Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyacrylate Crosspolymer-6, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Adenosine, Polyquaternium-51, Disodium EDTA, Citric Acid, Caprylyl Glycol, t-Butyl Alcohol, Potassium Sorbate, Sodium Oleate","Toner-like peptide booster with six peptides. Official COSRX.com.","cosrx-the-6-peptide-skin-booster-serum.jpg","더 6 펩타이드 스킨 부스터 세럼","The 6 Peptide Skin Booster Serum","","KR","150ml","After cleansing as first leave-on booster; pat gently.","","https://www.cosrx.com/products/the-6-peptide-skin-booster-serum","official_brand_page","true","true",""
"COSRX","Advanced Snail 92 All in One Cream","cosrx-advanced-snail-92-all-in-one-cream","cream","face","Snail Secretion Filtrate, Betaine, Caprylic/Capric Triglyceride, Butylene Glycol, Cetearyl Olivate, Sorbitan Olivate, Cetearyl Alcohol, Carbomer, Ethyl Hexanediol, Phenoxyethanol, Arginine, Dimethicone, Sodium Polyacrylate, Sodium Hyaluronate, Allantoin, Palmitic Acid, Panthenol, Xanthan Gum, Stearic acid, Adenosine, Water, Myristic Acid","92% snail secretion filtrate all-in-one cream. Official COSRX.com.","cosrx-advanced-snail-92-all-in-one-cream.jpg","어드밴스드 스네일 92 올인원 크림","Advanced Snail 92 All in One Cream","","KR","100g","After cleansing and toning, apply evenly and pat.","","https://www.cosrx.com/products/advanced-snail-92-all-in-one-cream","official_brand_page","true","true",""
"COSRX","The Retinol 0.1 Cream","cosrx-the-retinol-0-1-cream","cream","face","Water, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Tocopheryl Acetate, Cetearyl Alcohol, Trehalose, Panthenol, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Oil, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone, Glyceryl Polymethacrylate, Helianthus Annuus (Sunflower) Seed Oil, Polyglyceryl-10 Stearate, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Tromethamine, Glyceryl Stearate, Polysilicone-11, Sodium Sulfite, Tocopherol, Daucus Carota Sativa (Carrot) Root Extract, Retinol(0.1%), Allantoin, Glyceryl Caprylate, Oryza Sativa (Rice) Bran Wax, Tocotrienols, Stearic Acid, Polyglyceryl-3 Methylglucose Distearate, Palmitic Acid, Disodium EDTA, Ethylhexylglycerin, Adenosine, Sorbitan Isostearate, Elaeis Guineensis (Palm) Oil, BHT, Beta-Carotene, Myristic Acid, Lauric Acid, Ascorbic Acid, Limnanthes Alba (Meadowfoam) Seed Oil, 3-O-Ethyl Ascorbic Acid, Glutathione, Sodium Hyaluronate, 1,2-Hexanediol, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Sodium Acetylated Hyaluronate","0.1% pure retinol cream for beginners. Official COSRX.com full ingredients.","cosrx-the-retinol-0-1-cream.jpg","더 레티놀 0.1 크림","The Retinol 0.1 Cream","","KR","20ml","Night use; start every other day; build tolerance slowly.","Avoid pregnancy/breastfeeding; use sunscreen; do not combine with strong exfoliants initially.","https://www.cosrx.com/products/the-retinol-0-1-cream","official_brand_page","true","true",""
"COSRX","Ultra-Light Invisible Sunscreen SPF50 PA++++","cosrx-ultra-light-invisible-sunscreen-spf50","sunscreen","face","Aloe Barbadensis Leaf Water, Diethylhexyl Succinate, Propanediol, Aqua/Water, Drometrizole Trisiloxane, Ethylhexyl Triazone, Niacinamide, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Terephthalylidene Dicamphor Sulfonic Acid, 1,2-Hexanediol, Behenyl Alcohol, Methyl Trimethicone, Sodium Polyacryloyldimethyl Taurate, Hamamelis Virginiana (Witch Hazel) Leaf Water, Tromethamine, Polyacrylate Crosspolymer-6, Arachidyl Alcohol, Caprylyl Glycol, Ethylhexylglycerin, Arachidyl Glucoside, Sodium Metaphosphate, Adenosine, Tocopherol, Sodium Hyaluronate, Allantoin, Citric Acid, Sodium Benzoate, Potassium Sorbate","Sheer chemical sunscreen SPF50 PA++++. Official COSRX.com full ingredients.","cosrx-ultra-light-invisible-sunscreen-spf50.jpg","울트라 라이트 인비저블 선스크린 SPF50 PA++++","Ultra-Light Invisible Sunscreen SPF50 PA++++","","KR","50ml","Apply before sun exposure; reapply after sweating/swimming.","Listed sold out on cosrx.com at collection time; formula from official page.","https://www.cosrx.com/products/ultra-light-invisible-sunscreen-spf50","official_brand_page","true","true",""
"COSRX","Full Fit Propolis Synergy Toner","cosrx-full-fit-propolis-synergy-toner","toner","face","Propolis Extract, Honey Extract, Butylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Cassia Obtusifolia Seed Extract, Panthenol, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylic/Capric Triglyceride","Propolis and honey boosting toner. Official COSRX.com.","cosrx-full-fit-propolis-synergy-toner.jpg","풀핏 프로폴리스 시너지 토너","Full Fit Propolis Synergy Toner","","KR","150ml","First step after cleansing.","Bee-derived ingredients; allergy caution.","https://www.cosrx.com/products/full-fit-propolis-synergy-toner","official_brand_page","true","true",""
